"","Parkname","gnis_id","Count","TotalValue","lon","lat","Gnis Id"
"1","Abraham Lincoln Birthplace","496556",10,1940962,-85.6444254945526,37.6119830654186,"496556"
"2","Adams","1888899",10,2196319,-71.0125499645413,42.2566028071673,"1888899"
"3","African Burial Ground","2060434",7,554291,-74.0043303610801,40.7145577358025,"2060434"
"4","Agate Fossil Beds","826917",10,125829,-103.744009154185,42.4214793207314,"826917"
"5","Alibates Flint Quarries","1377214",10,43903,-101.671717666903,35.5819656012028,"1377214"
"6","Allegheny Portage Railroad","1214216",10,1359438,-78.5318637936133,40.4467794170991,"1214216"
"7","Andersonville","310534",10,1299637,-84.1298941097652,32.1983097330623,"310534"
"8","Andrew Johnson","1304837",10,517177,-82.8381443792622,36.1553700408945,"1304837"
"9","Aniakchak","1416034",40,2836,-158.11781163195,56.8956143242121,"1416034"
"10","Aniakchak","1416034",40,2836,-157.720746026847,56.8657089122263,"1416034"
"11","Antietam","589057",10,3765950,-77.7380759692048,39.4701632161484,"589057"
"12","Apostle Islands","1581059",10,1866946,-90.5795576757774,46.9367323910659,"1581059"
"13","Appomattox Court House","1462531",10,2621466,-78.8008967688407,37.3827556410728,"1462531"
"14","Arches","1455716",10,11263626,-109.58637758463,38.7226244095915,"1455716"
"15","Arkansas Post","2733432",10,364456,-91.3473337597439,34.0207319423128,"2733432"
"16","Arlington House","1888900",10,6203861,-77.0727292211596,38.8832756571887,"1888900"
"17","Aztec Ruins","885961",10,436658,-107.999934946495,36.8368279755016,"885961"
"18","Badlands","1265096",10,9144314,-102.393955095558,43.8340695663258,"1265096"
"19","Bandelier","928874",10,1852772,-106.305444434084,35.7576123337358,"928874"
"20","Bent's Old Fort","2559483",10,264907,-103.426659478243,38.03978174052,"2559483"
"21","Bering Land Bridge","1416037",10,20605,-164.408700937522,65.9608577743328,"1416037"
"22","Big Hole","779820",10,432746,-113.645857205308,45.6464796129953,"779820"
"23","Big Thicket","1888902",10,1251606,-94.2316268600623,30.3408805375378,"1888902"
"24","Bighorn Canyon","767934",10,2272635,-108.026415221663,45.2890956746912,"767934"
"25","Biscayne","294450",10,5116017,-80.2102411862698,25.4905916099637,"294450"
"26","Black Canyon of the Gunnison","203271",10,1894543,-107.725746091739,38.5790819188051,"203271"
"27","Booker T. Washington","1477005",10,229547,-79.7318771572578,37.1148209634707,"1477005"
"28","Boston","600140",10,23387416,-71.055749791475,42.3733862490123,"600140"
"29","Boston African American","1888904",10,3583146,-71.0706410284666,42.3579042995954,"1888904"
"30","Brown v. Board of Education","2510335",10,209039,-95.6764153398136,39.0379395230748,"2510335"
"31","Bryce Canyon","1450197",10,14097635,-112.182680298497,37.5839970829733,"1450197"
"32","Buck Island Reef","1613756",10,369968,-64.6222157081978,17.8102699171725,"1613756"
"33","Buffalo","74272",10,13661862,-92.9181128974667,35.9686507182293,"74272"
"34","Cabrillo","255957",10,8357526,-117.241610458815,32.6722550525989,"255957"
"35","Canaveral","307730",10,11904708,-80.7541709214576,28.7863531616207,"307730"
"36","Cane River Creole","2733428",10,275285,-93.0073052043444,31.6644474083247,"2733428"
"37","Canyon de Chelly","44981",10,8262851,-109.340077989785,36.0940610356443,"44981"
"38","Canyonlands","1448008",10,5068647,-109.877014972081,38.243557436626,"1448008"
"39","Cape Cod","606900",10,44982224,-70.0051945203401,41.9604789255329,"606900"
"40","Cape Krusenstern","1416038",10,73494,-163.504381749306,67.4153000898597,"1416038"
"41","Capitol Reef","1434866",10,7237883,-111.2830148968,38.3836736152223,"1434866"
"42","Capulin Volcano","936867",10,503939,-103.971052266268,36.7817170145669,"936867"
"43","Carl Sandburg Home","1006677",10,720882,-82.4509702189569,35.2682502320418,"1006677"
"44","Carlsbad Caverns","904780",10,4115530,-104.553121383071,32.1409515790057,"904780"
"45","Casa Grande Ruins","44811",10,722415,-111.532549211565,32.9970309044297,"44811"
"46","Castillo de San Marcos","307911",10,7308088,-81.3121748711096,29.8978626813,"307911"
"47","Castle Clinton","945983",10,39010596,-74.0168070314038,40.7034862041949,"945983"
"48","Catoctin Mountain Park","583623",10,3226847,-77.4612238024128,39.648221233114,"583623"
"49","Cedar Breaks","1439558",10,6118661,-112.845169394108,37.6354158173578,"1439558"
"50","Cesar E. Chavez","2754548",4,44875,-118.561590435894,35.2272988551623,"2754548"
"51","Chaco Culture","936878",10,416513,-107.9481181345,36.0450005713282,"936878"
"52","Chamizal","1888906",10,1577018,-106.45441086467,31.7673014738757,"1888906"
"53","Channel Islands","1662323",10,3055406,-119.739669210979,34.0165780113139,"1662323"
"54","Charles Pinckney","1252725",10,463535,-79.8248786427841,32.8457803164329,"1252725"
"55","Charles Young Buffalo Soldie","2736075",2,14204,-83.8946058367451,39.7080131986728,"2736075"
"56","Chickasaw","1101907",10,12972992,-97.0070248747869,34.4605287396326,"1101907"
"57","Chiricahua","2877",10,503482,-109.341617341199,32.0121512243359,"2877"
"58","Christiansted","1993781",10,1144972,-64.739963182383,17.7340584425834,"1993781"
"59","City of Rocks","401309",10,952204,-113.71242200634,42.0699084304126,"401309"
"60","Clara Barton","2733426",10,140395,-77.1400992233062,38.9676366156605,"2733426"
"61","Colonial","1478412",10,33349785,-76.5316662684315,37.2379097319475,"1478412"
"62","Colorado","202252",10,4315323,-108.692081780026,39.0504562319378,"202252"
"63","Congaree","2035095",10,1166284,-80.7486811935812,33.7918818035493,"2035095"
"64","Coronado","40512",10,1136477,-110.256167899296,31.3490088782735,"40512"
"65","Cowpens","1247412",10,2176703,-81.8093578517164,35.1316133683138,"1247412"
"66","Crater Lake","1163670",10,5079872,-122.132759555073,42.9412317491197,"1163670"
"67","Cumberland Gap","490476",10,8633517,-83.6063607034253,36.6312718319302,"490476"
"68","Curecanti","196412",10,9354652,-107.167349525566,38.4628571338135,"196412"
"69","Cuyahoga Valley","1066328",10,23858615,-81.5690586772722,41.2613422148108,"1066328"
"70","Dayton Aviation Heritage","1083940",10,650189,-84.0644262901469,39.8039752576818,"1083940"
"71","De Soto","294586",10,2975508,-82.6433576005923,27.5227311954314,"294586"
"72","Death Valley","857501",10,9825254,-117.129781852971,36.4782299033213,"857501"
"73","Denali","2760439",40,18531736,-152.439767691493,63.4780330475578,"2760439"
"74","Denali","2760439",40,18531736,-150.730232888547,63.34824037128,"2760439"
"75","Devils Postpile","266641",10,1112301,-119.087698783799,37.6153809890088,"266641"
"76","Devils Tower","2733421",10,4131239,-104.715644848742,44.5906536181037,"2733421"
"77","Dinosaur","169567",10,2471826,-108.839490177716,40.4791390407833,"169567"
"78","Dry Tortugas","307632",10,634253,-82.871786918988,24.6488555062147,"307632"
"79","Edgar Allan Poe","1888911",10,143355,-75.1500079642263,39.9619628856201,"1888911"
"80","Edison","874901",10,427309,-74.2398224988192,40.7859790204677,"874901"
"81","Effigy Mounds","456249",10,784027,-91.2082760191327,43.0913960972618,"456249"
"82","Eisenhower","1888912",10,604580,-77.2650833376776,39.7957835668179,"1888912"
"83","El Morro","906062",10,485740,-108.346408779265,35.0389647041269,"906062"
"84","Eleanor Roosevelt","1888914",10,558474,-73.9006090250387,41.7633868273353,"1888914"
"85","Eugene O'Neill","1888915",10,30853,-122.027169801124,37.8260495411052,"1888915"
"86","Federal Hall","2057537",10,1850634,-74.0102613225406,40.7073229181766,"2057537"
"87","First Ladies","2035610",10,109709,-81.3759364096659,40.7966301493973,"2035610"
"88","Flight 93","1986830",10,2422983,-78.8945719974882,40.0606227026089,"1986830"
"89","Florissant Fossil Beds","191398",10,630602,-105.281835115205,38.9129296583097,"191398"
"90","Ford's Theatre","530748",10,6386916,-77.0256620353245,38.896670048646,"530748"
"91","Fort Bowie","1888916",10,86468,-109.451142364509,32.1492644779765,"1888916"
"92","Fort Caroline","282677",10,2724029,-81.5002759506179,30.3846112800068,"282677"
"93","Fort Davis","1357585",10,479136,-103.896199519496,30.5993088560297,"1357585"
"94","Fort Donelson","1284664",10,2419791,-87.8608883773487,36.4872892993767,"1284664"
"95","Fort Frederica","314290",10,2499336,-81.3898457751014,31.2235611146825,"314290"
"96","Fort Laramie","1597073",10,522881,-104.545919547407,42.2030231412417,"1597073"
"97","Fort Larned","475845",10,283987,-99.216983667223,38.1844976112746,"475845"
"98","Fort Matanzas","307963",10,6451233,-81.2386655147257,29.711411084357,"307963"
"99","Fort McHenry","595218",10,6452364,-76.5804438248577,39.2639610130553,"595218"
"100","Fort Necessity","1193713",10,2279492,-79.5886939458918,39.8100457612583,"1193713"
"101","Fort Point","1655639",10,15627386,-122.473730471194,37.8084051479849,"1655639"
"102","Fort Pulaski","314296",10,3805077,-80.943631706667,32.0347837830884,"314296"
"103","Fort Scott","480986",10,261629,-94.7044467294538,37.8436258768248,"480986"
"104","Fort Smith","56686",10,898229,-94.4312788158952,35.3883298899666,"56686"
"105","Fort Stanwix","1888919",10,996347,-75.4555783393792,43.2105430806385,"1888919"
"106","Fort Sumter","1222505",10,8189605,-79.8793365078185,32.7536006698811,"1222505"
"107","Fort Union","889156",10,103781,-105.012027080592,35.907377006592,"889156"
"108","Fort Union Trading Post","771520",10,133986,-104.038089920293,47.9989940911149,"771520"
"109","Fort Vancouver","1504974",10,8221203,-122.661652088207,45.6235658674052,"1504974"
"110","Fort Washington Park","597426",10,4087107,-77.0287531430826,38.7121847232463,"597426"
"111","Fossil Butte","1605065",10,183924,-110.76248710163,41.8563584791568,"1605065"
"112","Franklin Delano Roosevelt","1877541",10,28704541,-77.0431177199504,38.8834205243228,"1877541"
"113","Frederick Douglass","2733423",10,477887,-76.9850814676352,38.8629846213608,"2733423"
"114","Frederick Law Olmsted","1971618",10,59606,-71.1320683236791,42.3242801802397,"1971618"
"115","Fredericksburg and Spotsylvania","1488838",10,8256423,-77.7387692815134,38.3036484318115,"1488838"
"116","Friendship Hill","1888922",10,332766,-79.9252833362319,39.7754635394486,"1888922"
"117","Gates of the Arctic","1416040",40,440596,-153.386932250627,67.8770773547325,"1416040"
"118","Gates of the Arctic","1416040",40,440596,-154.915443812214,66.7798768806756,"1416040"
"119","Gateway","882894",10,76074388,-73.8614507886057,40.6027940958557,"882894"
"120","General Grant","2733424",10,982072,-73.9630771138693,40.8134426346051,"2733424"
"121","George Rogers Clark","447197",10,1237712,-87.5370131268208,38.6784094160172,"447197"
"122","George Washington Birthplace","1467038",10,1232900,-76.920794658766,38.1936382605138,"1467038"
"123","George Washington Carver","718402",10,370804,-94.3555307325164,36.9866484264109,"718402"
"124","George Washington Memorial Parkway","584569",10,74995495,-77.04955089696,38.7149940430514,"584569"
"125","Gettysburg","1175577",10,11805044,-77.2384710649026,39.8042971105236,"1175577"
"126","Gila Cliff Dwellings","928945",10,347296,-108.273306067559,33.2276152894074,"928945"
"127","Glacier","1803454",10,21979990,-113.800954093687,48.6843910150356,"1803454"
"128","Glacier Bay","1416041",40,18796708,-136.813136590904,58.7947813991098,"1416041"
"129","Glacier Bay","1416041",40,18796708,-138.351462821902,59.1313803082418,"1416041"
"130","Glen Canyon","23865",10,22353572,-110.802138628727,37.3980264507732,"23865"
"131","Golden Gate","255952",10,147188618,-122.55114122161,37.8588870874393,"255952"
"132","Golden Spike","1428242",10,464438,-112.493998180363,41.6310027228718,"1428242"
"133","Governors Island","2092022",10,3774746,-74.0168291276922,40.6916238948689,"2092022"
"134","Grand Canyon","23866",10,47107124,-112.185265360499,36.186725774098,"23866"
"135","Grand Portage","644333",10,891884,-89.7606956544956,47.999690677055,"644333"
"136","Grand Teton","1597571",10,27516892,-110.705478509491,43.8185421193918,"1597571"
"137","Grant-Kohrs Ranch","806847",10,198417,-112.746705034554,46.413761206367,"806847"
"138","Great Basin","862430",10,972132,-114.257990142115,38.9461794395961,"862430"
"139","Great Sand Dunes","2733443",40,11477724,-105.496737510179,37.8336936542369,"2733443"
"140","Great Sand Dunes","2733443",40,11477724,-105.628908699303,37.7766401496283,"2733443"
"141","Greenbelt Park","597496",10,1705613,-76.900693330725,38.98404152791,"597496"
"142","Guadalupe Mountains","1377201",10,1695729,-104.884356577208,31.9233894408517,"1377201"
"143","Guilford Courthouse","986193",10,3294872,-79.8418711197429,36.1330249613954,"986193"
"144","Gulf Islands","689020",10,41021647,-86.9099698081627,30.3730703804048,"689020"
"145","Hagerman Fossil Beds","395749",10,244203,-114.954011544881,42.7755809466687,"395749"
"146","Haleakala","358382",10,11181922,-156.148585794886,20.7072889510407,"358382"
"147","Hamilton Grange","2083660",10,187181,-73.9472926522919,40.821359865707,"2083660"
"148","Hampton","584846",10,340890,-76.5882277927176,39.4165856682968,"584846"
"149","Harpers Ferry","1556735",10,2701889,-77.7419579002813,39.3128696897816,"1556735"
"150","Harry S Truman","2463113",10,304016,-94.5305842947069,38.9011991265184,"2463113"
"151","Hawai'i Volcanoes","365210",10,15108594,-155.602869609988,19.3776370049489,"365210"
"152","Herbert Hoover","457629",10,1376954,-91.3515103099103,41.6673910319691,"457629"
"153","Home of Franklin D Roosevelt","1888929",10,1463021,-73.9267191837716,41.7680498922883,"1888929"
"154","Homestead","830099",10,763744,-96.8340337154214,40.287971228637,"830099"
"155","Hopewell Culture","1888931",10,370127,-83.1351992041861,39.2794017173982,"1888931"
"156","Hopewell Furnace","1193717",10,511682,-75.7681181299732,40.2060815542954,"1193717"
"157","Horseshoe Bend","149966",10,681932,-85.7341404375545,32.9766950130906,"149966"
"158","Hot Springs","56796",10,13546337,-93.0897285197262,34.5111273492822,"56796"
"159","Hovenweep","202599",10,289229,-109.073000854605,37.3853659740954,"202599"
"160","Hubbell Trading Post","6092",10,765056,-109.559962235593,35.707278812305,"6092"
"161","Indiana Dunes","446903",10,18204232,-87.0325153974331,41.6614276783585,"446903"
"162","James A. Garfield","1888932",10,265238,-81.3508694030905,41.6648736290431,"1888932"
"163","Jean Lafitte","560393",10,3899038,-90.147220664331,29.8191848302278,"560393"
"164","Jefferson","765817",10,21057022,-90.1756354750579,38.6221234177162,"765817"
"165","Jewel Cave","1261888",10,1081631,-103.830004375116,43.7310364804693,"1261888"
"166","Jimmy Carter","1888934",10,701586,-84.4324121616496,32.0263239927346,"1888934"
"167","John D. Rockefeller, Jr.","1604577",10,12315275,-110.728051568674,44.0887199654086,"1604577"
"168","John Day Fossil Beds","1133439",10,1545604,-119.634332204494,44.5431596993921,"1133439"
"169","John Fitzgerald Kennedy","607138",10,181391,-71.1232390740989,42.3469456078312,"607138"
