"","park","park_std","total_deaths","lat","lon","z"
"1","Acadia National Park","acadia",22,44.3386,-68.2733,22
"2","Allegheny Portage Railroad National Historic Site","allegheny portage railroad national historic site",1,40.4564,-78.61,1
"3","Amistad National Recreation Area","amistad",10,29.5347,-101.0775,10
"4","Anacostia Park","anacostia park",10,38.89,-76.96,10
"5","Apostle Islands National Lakeshore","apostle islands national lakeshore",6,47.0198,-90.656,6
"6","Appalachian National Scenic Trail","appalachian national scenic trail",8,40,-78,8
"7","Arches National Park","arches",9,38.7226244095915,-109.58637758463,9
"8","Assateague Island National Seashore","assateague island national seashore",10,38.0525,-75.2444,10
"9","Badlands National Park","badlands",4,43.8340695663258,-102.393955095558,4
"10","Baltimore-Washington Parkway","baltimore-washington parkway",45,39.03,-76.85,45
"11","Bandelier National Monument","bandelier",2,35.7576123337358,-106.305444434084,2
"12","Big Bend National Park","big bend",20,29.25,-103.25,20
"13","Big Cypress National Preserve","big cypress national preserve",9,25.9739,-81.0839,9
"14","Big South Fork National River and Recreation Area","big south fork national river recreation area",13,36.5417,-84.7167,13
"15","Big Thicket National Preserve","big thicket national preserve",13,30.4575,-94.3925,13
"16","Bighorn Canyon National Recreation Area","bighorn canyon",8,45.2890956746912,-108.026415221663,8
"17","Biscayne National Park","biscayne",14,25.4905916099637,-80.2102411862698,14
"18","Black Canyon Of The Gunnison National Park","black canyon gunnison",5,38.5790819188051,-107.725746091739,5
"19","Blue Ridge Parkway","blue ridge parkway",128,36,-80,128
"20","Bluestone National Scenic River","bluestone national scenic river",1,37.6139,-80.8711,1
"21","Boston National Historical Park","boston national historical park",3,42.3736,-71.057,3
"22","Bryce Canyon National Park","bryce canyon",3,37.5839970829733,-112.182680298497,3
"23","Buck Island Reef National Monument","buck island reef",1,17.8102699171725,-64.6222157081978,1
"24","Buffalo National River","buffalo national river",35,36.0408,-92.8803,35
"25","Canaveral National Seashore","canaveral national seashore",5,28.7619,-80.7494,5
"26","Canyon De Chelly National Monument","canyon de chelly",1,36.0940610356443,-109.340077989785,1
"27","Canyonlands National Park","canyonlands",18,38.243557436626,-109.877014972081,18
"28","Cape Cod National Seashore","cape cod national seashore",19,41.9268,-70.0267,19
"29","Cape Hatteras National Seashore","cape hatteras national seashore",60,35.3582,-75.55,60
"30","Cape Lookout National Seashore","cape lookout national seashore",4,34.9876,-76.3416,4
"31","Capitol Reef National Park","capitol reef",7,38.3836736152223,-111.2830148968,7
"32","Carlsbad Caverns National Park","carlsbad caverns",2,32.1409515790057,-104.553121383071,2
"33","Castillo De San Marcos National Monument","castillo de san marcos",2,29.8978626813,-81.3121748711096,2
"34","Catoctin Mountain Park","catoctin mountain park",4,39.648221233114,-77.4612238024128,4
"35","Channel Islands National Park","channel islands",12,34.0165780113139,-119.739669210979,12
"36","Chattahoochee River National Recreation Area","chattahoochee river",40,34.0094,-84.2809,40
"37","Chesapeake & Ohio Canal National Historical Park","chesapeake & ohio canal national historical park",22,39.4582,-77.75,22
"38","Chickamauga & Chattanooga National Military Park","chickamauga & chattanooga national military park",5,34.9404,-85.2547,5
"39","Chickasaw National Recreation Area","chickasaw",9,34.4605287396326,-97.0070248747869,9
"40","Clara Barton National Historic Site","clara barton national historic site",4,38.9675,-77.1383,4
"41","Colonial National Historical Park","colonial national historical park",14,37.2275,-76.6122,14
"42","Colorado National Monument","colorado",17,39.0504562319378,-108.692081780026,17
"43","Congaree National Park","congaree",1,33.7918818035493,-80.7486811935812,1
"44","Coronado National Memorial","coronado national memorial",2,31.345,-110.32,2
"45","Crater Lake National Park","crater lake",10,42.9412317491197,-122.132759555073,10
"46","Craters Of The Moon National Monument & Preserve","craters moon & preserve",3,43.4162,-113.5161,3
"47","Cumberland Gap National Historical Park","cumberland gap national historical park",6,36.5925,-83.6642,6
"48","Cumberland Island National Seashore","cumberland island national seashore",1,30.8535,-81.4543,1
"49","Curecanti National Recreation Area","curecanti",13,38.4628571338135,-107.167349525566,13
"50","Cuyahoga Valley National Park","cuyahoga valley",20,41.2613422148108,-81.5690586772722,20
"51","Death Valley National Park","death valley",41,36.4782299033213,-117.129781852971,41
"52","Delaware Water Gap National Recreation Area","delaware water gap",55,41.1167,-74.905,55
"53","Denali National Park & Preserve","denali & preserve",63,63.1148,-151.1926,63
"54","Devils Tower National Monument","devils tower",1,44.5906536181037,-104.715644848742,1
"55","Dinosaur National Monument","dinosaur",9,40.4791390407833,-108.839490177716,9
"56","Dry Tortugas National Park","dry tortugas",5,24.6488555062147,-82.871786918988,5
"57","Eisenhower National Historic Site","eisenhower national historic site",1,39.8069,-77.2311,1
"58","El Morro National Monument","el morro",1,35.0389647041269,-108.346408779265,1
"59","Everglades National Park","everglades",12,25.2866,-80.8987,12
"60","Fire Island National Seashore","fire island national seashore",4,40.7325,-73.1089,4
"61","First State National Historical Park","first state national historical park",1,39.8282,-75.5465,1
"62","Florissant Fossil Beds National Monument","florissant fossil beds",1,38.9129296583097,-105.281835115205,1
"63","Fort Bowie National Historic Site","fort bowie national historic site",2,32.1542,-109.4497,2
"64","Fort Foote Park","fort foote park",2,38.7745,-77.0192,2
"65","Fort Pulaski National Monument","fort pulaski",1,32.0347837830884,-80.943631706667,1
"66","Fort Vancouver National Historic Site","fort vancouver national historic site",1,45.6247,-122.6615,1
"67","Fort Washington Park","fort washington park",1,38.7121847232463,-77.0287531430826,1
"68","Fredericksburg & Spotsylvania National Military Park","fredericksburg & spotsylvania national military park",3,38.2996,-77.5186,3
"69","Friendship Hill National Historic Site","friendship hill national historic site",1,39.785,-79.9342,1
"70","Gateway National Recreation Area","gateway",68,40.6027940958557,-73.8614507886057,68
"71","Gauley River National Recreation Area","gauley river",9,38.1367,-81.0031,9
"72","George Washington Birthplace","george washington birthplace",2,38.1936382605138,-76.920794658766,2
"73","George Washington Memorial Parkway","george washington memorial parkway",29,38.7149940430514,-77.04955089696,29
"74","Gettysburg National Military Park","gettysburg national military park",3,39.8111,-77.2311,3
"75","Gila Cliff Dwellings National Monument","gila cliff dwellings",1,33.2276152894074,-108.273306067559,1
"76","Glacier Bay National Park & Preserve","glacier bay & preserve",6,58.665,-136.9,6
"77","Glacier National Park","glacier",40,48.6843910150356,-113.800954093687,40
"78","Glen Canyon National Recreation Area","glen canyon",99,37.3980264507732,-110.802138628727,99
"79","Glen Echo Park","glen echo park",1,38.9676,-77.1403,1
"80","Golden Gate National Recreation Area","golden gate",120,37.8588870874393,-122.55114122161,120
"81","Golden Spike National Historical Park","golden spike national historical park",1,41.6197,-112.5485,1
"82","Governors Island National Monument","governors island",1,40.6916238948689,-74.0168291276922,1
"83","Grand Canyon National Park","grand canyon",155,36.186725774098,-112.185265360499,155
"84","Grand Teton National Park","grand teton",59,43.8185421193918,-110.705478509491,59
"85","Great Basin National Park","great basin",1,38.9461794395961,-114.257990142115,1
"86","Great Falls Park","great falls park",25,38.9984,-77.2525,25
"87","Great Sand Dunes National Park & Preserve","great sand dunes & preserve",4,37.7916,-105.5943,4
"88","Great Smoky Mountains National Park","great smoky mountains",98,35.6118,-83.4895,98
"89","Greenbelt Park","greenbelt park",1,38.98404152791,-76.900693330725,1
"90","Guadalupe Mountains National Park","guadalupe mountains",4,31.9233894408517,-104.884356577208,4
"91","Gulf Islands National Seashore","gulf islands national seashore",27,30.395,-87.03,27
"92","Haleakala National Park","haleakala",14,20.7072889510407,-156.148585794886,14
"93","Harpers Ferry National Historical Park","harpers ferry national historical park",6,39.3232,-77.7383,6
"94","Hawaii Volcanoes National Park","hawaii volcanoes",12,19.4194,-155.2885,12
"95","Home Of Franklin D Roosevelt National Historic Site","home franklin d roosevelt national historic site",1,41.7682,-73.9338,1
"96","Hopewell Culture National Historical Park","hopewell culture national historical park",1,39.3518,-83.0641,1
"97","Hot Springs National Park","hot springs",4,34.5111273492822,-93.0897285197262,4
"98","Hovenweep National Monument","hovenweep",1,37.3853659740954,-109.073000854605,1
"99","Independence National Historical Park","independence national historical park",4,39.9496,-75.148,4
"100","Indiana Dunes National Park","indiana dunes",21,41.6614276783585,-87.0325153974331,21
"101","Isle Royale National Park","isle royale",2,47.9959,-88.5485,2
"102","Jean Lafitte National Historical Park & Preserve","jean lafitte national historical park & preserve",4,29.855,-90.125,4
"103","Joshua Tree National Park","joshua tree",23,33.8271903379208,-115.860134293133,23
"104","Kaloko-Honokohau National Historical Park","kaloko-honokohau national historical park",1,19.6781,-156.025,1
"105","Katmai National Park & Preserve","katmai & preserve",6,58.597,-155,6
"106","Kenilworth Park & Aquatic Gardens","kenilworth park & aquatic gardens",2,38.9078,-76.9444,2
"107","Kennesaw Mountain National Battlefield Park","kennesaw mountain national battlefield park",6,33.9815,-84.5794,6
"108","Kings Mountain National Military Park","kings mountain national military park",1,35.139,-81.3936,1
"109","Klondike Gold Rush National Historical Park","klondike gold rush national historical park",1,59.46,-135.315,1
"110","Lake Clark National Park & Preserve","lake clark & preserve",4,60.9666,-153.4166,4
"111","Lake Mead National Recreation Area","lake mead",230,35.7165023141282,-114.651914647439,230
"112","Lake Meredith National Recreation Area","lake meredith",14,35.6969,-101.6981,14
"113","Lake Roosevelt National Recreation Area","lake roosevelt",24,47.9116458146954,-118.715168002806,24
"114","Lassen Volcanic National Park","lassen volcanic",4,40.4938343885511,-121.407214019463,4
"115","Lava Beds National Monument","lava beds",1,41.7587695661037,-121.517809900471,1
"116","Lincoln Memorial","lincoln memorial",1,38.8892800792411,-77.0501800775069,1
"117","Little Bighorn Battlefield National Monument","little bighorn battlefield",1,45.5650611794602,-107.428647815958,1
"118","Little River Canyon National Preserve","little river canyon national preserve",18,34.387,-85.6047,18
"119","Lyndon B Johnson National Historical Park","lyndon b johnson national historical park",1,30.2463,-98.62,1
"120","Mammoth Cave National Park","mammoth cave",9,37.1976116465446,-86.1309069003164,9
"121","Manassas National Battlefield Park","manassas national battlefield park",1,38.813,-77.5211,1
"122","Mesa Verde National Park","mesa verde",4,37.2390890876667,-108.462404262137,4
"123","Minute Man National Historical Park","minute man national historical park",1,42.4495,-71.3083,1
"124","Mississippi National River & Recreation Area","mississippi national river & recreation area",1,44.9778,-93.265,1
"125","Missouri National Recreational River","missouri national recreational river",3,42.7831,-97.3903,3
"126","Mojave National Preserve","mojave national preserve",13,35.1406,-115.5144,13
"127","Morristown National Historical Park","morristown national historical park",1,40.7967,-74.5394,1
"128","Mount Rainier National Park","mount rainier",62,46.8607718396586,-121.704402928391,62
"129","Mount Rushmore National Memorial","mount rushmore national memorial",5,43.8791,-103.4591,5
"130","Muir Woods National Monument","muir woods",1,37.8984686642497,-122.583964035123,1
"131","Natchez Trace Parkway","natchez trace parkway",122,33.75,-88,122
"132","National Capital Parks-East","national capital parks-east",5,38.8861,-76.9722,5
"133","National Mall & Memorial Parks","national mall & memorial parks",33,38.8895,-77.02,33
"134","New River Gorge National River","new river gorge national river",71,37.8733,-81.0636,71
"135","Niobrara National Scenic River","niobrara national scenic river",4,42.8064,-100.0836,4
"136","North Cascades National Park","north cascades",22,48.833297508436,-121.346488143864,22
"137","Obed Wild & Scenic River","obed wild & scenic river",2,36.1144,-84.9261,2
"138","Olympic National Park","olympic",38,47.7952033779385,-123.618473417334,38
"139","Organ Pipe Cactus National Monument","organ pipe cactus",56,32.0358603172125,-112.857342434891,56
"140","Oxon Cove Park & Oxon Hill Farm","oxon cove park & oxon hill farm",1,38.7909,-77.0164,1
"141","Ozark National Scenic Riverways","ozark national scenic riverways",15,37.1344,-91.5486,15
"142","Padre Island National Seashore","padre island national seashore",12,27.3689,-97.3128,12
"143","Paterson Great Falls National Historical Park","paterson great falls national historical park",1,40.9164,-74.1736,1
"144","Pea Ridge National Military Park","pea ridge national military park",2,36.4528,-94.0353,2
"145","Pecos National Historical Park","pecos national historical park",1,35.55,-105.68,1
"146","Petersburg National Battlefield","petersburg national battlefield",2,37.2146,-77.3839,2
"147","Petroglyph National Monument","petroglyph",2,35.1342648044658,-106.752266314597,2
"148","Pictured Rocks National Lakeshore","pictured rocks national lakeshore",3,46.5653,-86.4489,3
"149","Pinnacles National Park","pinnacles",3,36.4902427557171,-121.181008141035,3
"150","Piscataway Park","piscataway park",1,38.6838991845384,-77.0551179615728,1
"151","Point Reyes National Seashore","point reyes national seashore",37,38.0497,-122.8736,37
"152","President's Park (White House)","president's park (white house)",1,38.8977,-77.0365,1
"153","Presidio of San Francisco","presidio san francisco",18,37.7989,-122.4662,18
"154","Prince William Forest Park","prince william forest park",3,38.5858482682947,-77.3874215028253,3
"155","Redwood National and State Parks","redwood national state parks",23,41.2132,-124.0046,23
"156","Richmond National Battlefield Park","richmond national battlefield park",1,37.4404,-77.34,1
"157","Rock Creek Park","rock creek park",23,38.9597,-77.05,23
"158","Rocky Mountain National Park","rocky mountain",55,40.3559036305193,-105.69779081906,55
"159","Saguaro National Park","saguaro",18,32.178731259307,-110.607915905781,18
"160","Saint Croix Island International Historic Site","saint croix island international historic site",5,45.1287,-67.1317,5
"161","Saint Croix National Scenic Riverway","saint croix national scenic riverway",18,45.8983,-92.3667,18
"162","San Antonio Missions National Historical Park","san antonio missions national historical park",4,29.3366,-98.4861,4
"163","San Francisco Maritime National Historical Park","san francisco maritime national historical park",3,37.8086,-122.4192,3
"164","San Juan Island National Historical Park","san juan island national historical park",1,48.53,-123.06,1
"165","Santa Monica Mountains National Recreation Area","santa monica mountains",11,34.0837756783587,-118.720191889331,11
"166","Saratoga National Historical Park","saratoga national historical park",2,43.0028,-73.5883,2
"167","Scotts Bluff National Monument","scotts bluff",2,41.8347711570994,-103.707253070697,2
"168","Sequoia & Kings Canyon National Parks","sequoia & kings canyon s",71,36.4864,-118.5658,71
"169","Shenandoah National Park","shenandoah",28,38.5326,-78.3499,28
"170","Sleeping Bear Dunes National Lakeshore","sleeping bear dunes national lakeshore",12,44.8606,-86.0517,12
"171","Statue Of Liberty National Monument","statue liberty",1,40.6983263653295,-74.0411335038782,1
"172","Suitland","suitland",31,38.8462,-76.928,31
"173","Theodore Roosevelt National Park","theodore roosevelt",2,46.9536284106367,-103.459261626542,2
"174","Upper Delaware Scenic & Recreational River","upper delaware scenic & recreational river",21,41.6583,-75.0333,21
"175","Valley Forge National Historical Park","valley forge national historical park",9,40.0962,-75.44,9
"176","Virgin Islands National Park","virgin islands",22,18.3427982397416,-64.7419477411078,22
"177","Voyageurs National Park","voyageurs",4,48.483439771094,-92.8374067410984,4
"178","Walnut Canyon National Monument","walnut canyon",1,35.1612304706626,-111.495041407064,1
"179","Whiskeytown National Recreation Area","whiskeytown",8,40.635,-122.5173,8
"180","White Sands National Park","white sands",5,32.7783412347884,-106.325360144525,5
"181","Wilson's Creek National Battlefield","wilson's creek national battlefield",5,37.1302,-93.4319,5
"182","Wind Cave National Park","wind cave",4,43.5801494435318,-103.439166646207,4
"183","Wrangell - St Elias National Park & Reserve","wrangell - st elias & reserve",8,61.7103,-142.9857,8
"184","Yellowstone National Park","yellowstone",65,44.5982507306391,-110.547181557799,65
"185","Yosemite National Park","yosemite",150,37.8488380425135,-119.557200054614,150
"186","Zion National Park","zion",45,37.298398099831,-113.026525324617,45
